;address;name_location;latitude;longitude
1490;R. Gustavo Teixeira, 474 - Vila Independencia Sorocaba - ;Gastão Bar;-23.5084419;-47.470066
1492;Av. Gen. Carneiro, 1120 - Vila Lucy Sorocaba - ;Tauste General Carneiro;-23.5040484;-47.4793981
1494;Pç Nove de Julho, 141 - Centro Sorocaba - ;Edifício Portal do Aveiro;-23.5032688;-47.4683771
1496;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704475
1498;Jardim America Sorocaba - ;Padaria Jardim América;-23.5159371;-47.4734119
1500;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704475
1502;Av. Dr. Afonso Vergueiro, 310 - Centro Sorocaba - ;Estação Ferroviária de Sorocaba;-23.4962827;-47.4545505
1504;Av. Dom Aguirre, 4258-4294 - Centro Sorocaba - ;Praça LIONS Sorocaba;-23.4982547;-47.4526405
1506;Av. Dr. Afonso Vergueiro, 823 - Centro Sorocaba - ;Pátio Cianê Shopping;-23.4963889;-47.46
1508;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704475
1510;Pç Nove de Julho, 141 - Centro Sorocaba - ;Edifício Portal do Aveiro;-23.5032688;-47.4683771
1512;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704475
1514;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704475
1516;R. Valdir Gentil, 99 - Parque Campolim Sorocaba - ;R. Valdir Gentil, 99;-23.5248805;-47.4657764
1518;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704475
1522;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.51717;-47.4704475
1523;Jardim America Sorocaba - ;R. João Crespo Lopes, 350-400 - Jardim America, Sorocaba - SP, 18046-785, Brasil;-23.5181325;-47.4707766
